"Tamanho","Tecnica","Tempo","qtd_veh","seed"
"0400m","Fluxo",5452.55661971831,11025,"seed894"
"0600m","Fluxo",9227.82028169014,12984,"seed894"
"0800m","Fluxo",14470.083943662,14573,"seed894"
"1000m","Fluxo",15441.0129577465,14748,"seed894"
"0200m","Between",6520.059,7356,"seed894"
"0400m","Between",10017.917,12227,"seed894"
"0600m","Between",10681.944,12271,"seed894"
"0800m","Between",15478.008,14378,"seed894"
"1000m","Between",15413.762,14452,"seed894"
"0200m","Hibrido",4603.14,5018,"seed894"
"0400m","Hibrido",8014.39304347826,10005,"seed894"
"0600m","Hibrido",10105.5452173913,11650,"seed894"
"0800m","Hibrido",14666.9086956522,12989,"seed894"
"1000m","Hibrido",15644.8886956522,13100,"seed894"
"0200m","Degree",6364.91963963964,9178,"seed894"
"0400m","Degree",10076.5232432432,12567,"seed894"
"0600m","Degree",10744.3372972973,12269,"seed894"
"0800m","Degree",15568.4151351351,14375,"seed894"
"1000m","Degree",15503.7938738739,14449,"seed894"
